country,client_ip,gender,age,income,is_banned,requested_file
130,19714817828,0,7,6,0,7640
48,178869516,1,6,6,0,3980
59,1685913847,0,1,0,0,4867
21,113988534,1,4,2,0,5036
18,146204157234,1,1,7,0,162
196,107176209198,0,7,3,1,8966
61,2183373174,1,5,2,0,7188
55,21821812181,0,3,3,0,1884
50,2344385166,0,0,2,0,2967
186,224113160234,1,2,5,0,7758
113,241152162232,1,0,0,0,4213
13,2055763138,1,2,6,0,6947
152,80172128245,1,0,7,0,7403
180,1692392646,1,2,1,0,8641
49,9124191154,0,3,1,0,3438
79,81162,0,1,2,1,8496
20,205922171,1,3,1,0,8848
110,25230234242,1,7,6,0,9637
131,2161476175,1,1,0,0,2139
43,225788293,0,7,0,1,755
80,158153161246,1,2,5,0,7291
178,225210246196,0,1,0,0,5595
13,8122158150,0,4,0,0,4844
123,18480120197,0,5,3,0,1405
84,5124263204,0,2,1,0,9134
72,112179240217,0,4,2,0,3449
114,9991170151,0,0,7,0,7156
133,15419143163,1,4,3,0,5980
156,195761046,1,0,6,0,6142
192,9818234166,1,6,5,0,2898
101,823245180,1,7,4,0,6114
107,531512728,1,2,6,0,6230
63,1952050151,1,2,2,0,92
151,138211224141,1,4,3,0,6539
74,183199026,1,2,3,0,5390
3,163226141190,0,2,0,0,7814
103,12853175178,0,7,5,0,1965
0,183403561,0,0,0,0,9846
56,70112241188,1,0,2,0,9026
8,21920013447,0,7,6,0,4552
59,1685913814,0,1,5,0,9335
74,1831990168,1,2,7,0,5917
0,4219117209,0,1,3,0,1199
21,139111147230,1,4,4,0,7231
100,2223871141,0,5,6,0,5390
24,40351381,0,5,7,0,7985
138,21875169174,0,2,7,0,1981
88,2251968260,1,7,4,0,9089
25,169141173238,0,4,3,0,9586
188,22669195243,0,4,7,0,7672
110,2523023459,1,6,2,0,1195
164,30707164,0,6,4,0,1523
110,183194196151,0,6,0,0,8316
73,2623122218,1,1,6,0,9951
97,18620772172,0,5,5,1,8869
118,23438224227,1,3,5,1,6794
131,149190153123,1,6,3,0,7059
159,3664197216,1,3,0,0,3273
124,25217243168,0,0,5,0,1778
68,10917020247,0,2,0,0,1342
64,233217166,0,5,5,0,9186
158,444214115,0,1,7,0,2416
162,234239160180,0,0,6,0,4993
78,103195161225,1,3,1,1,4178
157,212242417,1,4,5,0,3284
117,18918024648,0,2,2,0,982
165,811356394,0,2,1,0,4785
192,12149224162,0,1,7,0,6045
58,141244246153,1,4,5,0,7476
160,691653222,1,4,6,0,8506
179,777018074,0,3,5,0,955
24,40351346,0,2,5,0,9799
22,3817669246,1,2,6,0,6705
103,1101239565,0,4,5,0,4425
127,10424845,1,0,2,1,5017
94,20913032145,1,0,2,0,1817
159,136163207182,1,1,7,0,1123
109,461642248,1,3,3,0,2980
34,2237256,0,1,7,0,7669
19,1822215277,0,1,2,0,2015
106,150203131206,0,4,6,0,3580
131,1171468142,1,0,3,0,8361
32,5819169145,0,7,6,0,9789
56,9330152,0,0,5,0,2240
49,202136141245,1,3,5,0,1559
134,21518615477,0,6,7,0,8835
20,81138137121,1,6,6,0,2066
118,23438224242,0,1,5,1,1575
137,7619215365,1,2,5,0,1976
196,107176209176,1,4,6,1,2460
42,1651054969,1,2,2,0,8834
58,240207210239,1,4,1,0,2511
121,7875254222,0,3,6,0,8935
68,10917020230,1,7,6,0,8291
129,1011234022,0,2,7,0,5141
70,2288553133,1,7,4,0,8762
57,1755510118,1,2,0,0,2436
163,22422716512,1,7,2,0,2289
109,16524526108,0,3,0,0,6316
40,14916224035,1,7,5,0,82
9,688517574,1,6,3,0,5723
61,2183373156,1,3,1,0,7230
155,244222137246,1,2,7,0,4725
45,614133136,1,3,7,0,6583
68,48228247253,1,5,3,0,1850
153,11485200201,0,0,5,0,938
38,126216165237,0,2,4,0,3818
22,1431914065,1,2,1,0,7492
68,10917020212,1,0,4,0,9086
94,5112747253,0,6,6,0,6390
139,37123175113,1,2,3,0,6011
17,1941863113,1,0,0,0,2964
83,160454228,1,7,2,0,5045
150,133226181,1,7,5,0,2328
166,21916917357,0,1,0,1,5100
106,150203131154,1,1,5,0,9521
101,195182134215,0,4,2,0,7110
149,92106117112,0,0,2,0,7455
17,2312291595,0,2,2,0,5686
27,65626170,1,0,0,0,4869
0,4219117203,0,1,5,0,8635
65,2111578637,0,4,5,0,1143
103,12853175152,0,0,7,0,8973
91,615525204,1,2,2,0,7000
73,1637283237,1,6,7,0,6312
17,207177165189,0,2,0,0,1151
179,175895644,1,4,7,0,7604
99,831662466,0,6,1,0,1900
188,22669195160,0,4,0,0,7950
37,2984155236,1,1,7,0,6260
90,1701189632,1,3,0,0,9958
47,8018113071,1,3,1,0,7488
101,823245229,0,2,2,0,6975
124,5941206240,1,1,1,0,9044
191,525116357,0,5,2,0,3678
50,2344385228,1,1,3,0,7641
94,5112747238,0,7,7,0,7858
25,155140220,1,3,2,0,2506
191,1332211195,0,4,5,0,2394
53,230212240145,0,0,0,0,7132
123,137972188,1,4,1,0,7040
10,18162189202,1,3,6,0,8817
51,49251218199,1,0,0,0,4800
42,1651054931,0,6,4,0,8531
164,66125123100,0,5,3,0,859
3,232628147,1,3,3,0,7358
136,14014140126,0,4,2,0,1324
63,195205099,1,1,7,0,3685
174,2219911151,0,4,5,0,909
44,20445664,0,7,6,0,2970
145,491671294,0,6,7,0,4213
46,18310418243,0,2,2,0,2712
100,82183377,0,0,2,0,3726
183,238199164214,0,4,7,0,6053
1,10168730,0,0,3,0,5830
91,615525239,1,4,4,0,795
150,133226136,0,5,4,0,6558
175,19435174214,1,5,1,0,7836
43,236342297,0,3,6,1,1085
161,64210156135,0,2,3,0,8381
169,16517180219,1,2,2,0,5603
94,2091303299,0,3,0,0,4667
68,109170202233,0,5,5,0,1104
134,21518615470,1,0,3,0,7363
128,1132687124,1,6,7,0,5269
184,2375161197,1,2,1,0,5801
145,1121231693,0,4,0,0,3528
51,4012411185,0,3,2,0,4206
56,70112241205,0,2,2,0,9322
142,801075231,1,6,4,0,5492
176,2222777180,0,2,7,0,9013
51,1704942253,1,6,3,0,6606
7,11823654209,1,4,5,0,1945
63,1952050155,0,7,5,0,5955
103,228188213189,0,3,4,0,9934
187,18378235117,1,4,6,0,6989
61,2183373108,1,1,0,0,7750
131,113337084,0,5,2,0,9571
45,193249164247,1,6,2,0,9275
120,19923412657,0,6,2,0,6925
33,19619396125,0,4,7,0,2426
152,13912317188,0,6,2,0,4210
23,184251109109,1,0,2,0,147
183,23613918983,1,4,5,0,246
81,55023412,0,3,5,0,517
130,197148178127,1,5,0,0,6667
182,8412313632,1,2,2,0,9882
133,1045862238,1,3,7,0,5085
27,15852112212,0,7,2,0,8699
97,1862077257,1,6,7,1,9344
119,1501924539,1,3,6,0,653
188,226691952,1,7,0,0,3176
189,117203160248,0,6,1,0,2910
129,135117103112,0,3,1,0,6155
89,18010217628,1,7,2,0,7760
61,2183373183,0,6,1,0,1304
13,241184105121,0,2,2,0,133
56,701122418,1,6,7,0,7158
163,21016218689,0,4,2,0,4253
171,19510879231,0,6,4,0,1831
34,9911321169,0,2,7,0,6124
79,1581471444,1,2,7,1,7059
176,224213171206,0,1,3,0,5195
119,15019245155,1,0,1,0,1965
151,21418826177,1,6,6,0,9301
51,49251218208,1,4,2,0,4279
195,57114149181,1,0,0,0,8089
163,210162186207,0,1,5,0,6527
56,149184144150,0,4,3,0,9216
152,80172128127,0,7,7,0,6411
22,13214201213,0,1,3,0,6476
81,15024322768,0,0,5,0,4672
174,834512811,0,2,2,0,3009
74,1831990241,1,2,3,0,662
94,511274739,1,7,4,0,8258
82,27200192158,1,2,7,0,1393
87,139148102168,0,4,4,0,360
54,58172241199,1,5,3,0,2916
162,230153237247,0,3,1,0,936
10,1816218917,1,3,4,0,697
36,91482456,1,2,1,0,2902
18,1668411926,1,6,2,0,7899
60,712082197,1,3,2,0,2291
75,200133152106,0,2,7,0,2567
60,23612581254,1,6,0,0,9559
101,712093157,1,1,7,0,2441
165,8113563214,0,4,1,0,5463
33,16460129247,0,3,2,0,3642
173,47177182109,1,7,7,0,8774
153,1148520090,1,7,3,0,9252
47,20719015275,0,3,0,0,6336
109,6423619273,0,4,2,0,5058
155,2442221372,1,5,7,0,5432
153,7318213124,1,7,1,0,47
90,14936109,0,0,6,0,7262
163,686414337,0,7,3,0,7185
122,10123499165,0,7,0,0,5342
46,18310418221,0,6,4,0,8665
87,207135206151,0,2,3,0,2539
174,8345128248,1,6,4,0,3822
19,24414121198,0,4,6,0,4823
93,2384414434,0,1,6,0,915
106,4823471189,1,1,6,0,2666
21,2151546103,1,6,1,0,8546
117,189180246167,1,2,0,0,4060
63,1952050194,0,7,7,0,7080
48,1788695186,1,3,7,0,9587
58,156918965,0,6,4,0,2676
120,62213113,1,5,4,0,3486
124,25217243200,1,6,7,0,6518
76,231303426,0,6,1,0,9450
85,991782309,0,7,5,0,3172
80,186515674,1,4,4,0,1412
159,136163207192,0,6,1,0,4116
177,3222614386,0,3,4,0,3105
132,134130145154,1,3,5,0,8767
149,14620279105,0,5,0,0,6880
175,19435174160,0,3,2,0,5939
66,1221919380,0,1,4,0,7587
45,61413346,0,2,6,0,2160
44,24019117128,0,4,2,0,9417
148,3520838184,0,7,7,0,5406
151,12962139189,1,3,5,0,4367
166,219169173253,1,1,5,1,532
44,24019117195,1,0,4,0,9095
142,56117145238,1,1,0,0,3136
132,175155240213,1,0,5,0,7593
176,224213171250,0,1,7,0,5879
112,39102252105,0,1,5,0,8207
190,7825200249,0,3,3,0,3871
91,61552590,1,6,6,0,9859
92,31230183147,1,3,1,0,2808
154,24520210224,0,7,2,0,6039
115,147696696,0,4,1,0,4113
171,1951087929,1,2,6,0,7787
56,149184144162,1,2,4,0,5680
157,21224241119,0,7,5,0,3552
59,16859138120,0,2,4,0,5097
190,191187155187,1,7,7,0,9702
159,136163207157,0,7,3,0,9708
77,179199189141,0,3,7,0,7920
114,18798167179,0,2,0,0,6380
115,1182929194,0,2,5,0,1332
110,18319419635,0,1,5,0,5166
189,9904529,1,0,7,0,4481
169,16517180101,1,3,2,0,4843
64,23321787,0,3,1,0,5630
22,14319140148,1,2,1,0,9496
33,21116875136,1,1,6,0,9330
174,2219911196,0,4,6,0,6333
131,1133370206,1,4,6,0,7687
142,801075298,0,4,1,0,1447
157,226174213232,0,4,7,0,6289
161,11020030175,1,6,0,0,305
116,17125116250,1,0,2,0,1244
170,15983889,0,0,1,1,7067
184,49151788,1,0,7,0,7081
190,5719191195,1,0,0,0,4179
83,20625021554,0,7,2,0,9741
122,1012349970,1,2,5,0,4439
29,180020823,1,1,5,0,7014
58,156918941,1,3,1,0,7006
77,17919918935,0,7,4,0,7720
139,871829739,0,5,5,0,6342
62,952229727,0,7,0,0,9838
125,127124161,1,5,0,0,8017
154,1010822284,1,5,1,0,5482
130,13012159186,0,3,2,0,6385
74,1831990166,1,3,7,0,9157
144,55575466,1,4,1,0,8378
66,11212817885,1,2,3,0,5819
187,78168241123,0,6,2,0,4734
188,226691957,0,3,2,0,349
37,7718832129,1,5,3,0,2712
55,1915128230,0,7,4,0,7272
88,197722434,1,0,2,0,4272
94,5112747253,0,6,0,0,5592
32,7819538158,1,5,4,0,9817
73,2623122230,0,5,0,0,7028
78,103195161158,0,5,4,1,8945
115,1991731942,0,0,4,0,8289
147,20814254111,1,0,0,0,5875
54,84179195112,0,4,6,0,7532
149,1462027968,1,6,3,0,2590
146,245175189,1,7,7,0,4951
68,18244113221,1,5,5,0,1306
94,5112747184,1,1,5,0,4651
12,50212172238,0,6,1,0,7780
152,2146018332,1,5,3,0,8935
48,178869521,1,1,2,0,219
162,2241871119,1,3,4,0,9264
64,23321736,0,2,1,0,2924
173,14488184152,0,2,7,0,9727
21,2452032031,0,6,3,0,5312
13,35537167,1,3,1,0,3472
191,16015459162,1,5,0,0,9339
48,178869563,0,7,2,0,2782
0,852205422,0,1,1,0,4044
89,181194152177,0,4,2,0,2102
73,19538129210,0,3,3,0,9096
160,19417013380,0,6,0,0,7261
163,6864143130,0,5,2,0,6013
58,240207210214,1,4,1,0,8084
54,175151194208,1,6,6,0,315
108,11621868117,0,6,3,0,592
83,105116185187,1,2,7,0,7138
40,14916224097,0,0,6,0,3599
103,228188213185,1,7,3,0,1334
113,241152162159,0,1,6,0,4049
181,614712659,0,0,6,0,5818
166,21916917345,0,3,6,1,3840
72,5657516,1,2,3,0,6072
26,5538110199,0,3,0,0,5004
156,19012144219,1,5,4,0,8621
131,11714681111,1,5,5,0,7367
171,7925118254,1,0,5,0,9626
22,1321420189,1,0,6,0,9598
25,1662321879,0,6,1,0,2170
128,72869100,0,4,5,0,1346
83,10511618514,0,0,6,0,5473
155,24422213756,0,4,3,0,1027
82,9523524469,1,6,6,0,8873
24,163142132149,1,3,1,0,5072
192,20312618254,0,7,4,0,6567
61,2183373111,1,3,6,0,5763
118,23438224127,1,7,7,1,1795
142,8010752219,0,3,1,0,3891
10,18162189163,1,3,2,0,4692
41,13012913866,1,0,0,0,7597
141,43188150208,0,5,4,0,2620
12,73131338,1,0,7,0,2579
141,43188150223,0,1,1,0,6102
2,222223249151,1,7,0,0,6351
64,233217187,1,6,0,0,5087
52,27124159183,1,2,3,0,8165
172,203172193,1,6,1,0,3606
164,22123614244,0,5,6,0,2789
99,8316624190,0,4,1,0,4361
50,2344385247,1,4,4,0,6373
167,111153240171,1,4,5,0,1873
174,22199111233,0,0,6,0,1607
18,1891433730,1,7,7,0,7056
33,3743193151,1,5,5,0,8127
83,206250215130,0,4,3,0,2221
117,18918024615,0,4,2,0,6045
10,1816218979,1,6,0,0,5861
90,17011896163,0,0,2,0,2178
34,2092021926,0,4,1,0,5032
139,1124635221,0,4,2,0,3605
145,11212316138,0,1,3,0,764
61,2183373230,1,4,2,0,1186
124,1122017631,0,6,0,0,6471
186,9014745131,1,1,0,0,5244
54,2038680229,0,7,0,0,5503
187,1837823533,0,5,1,0,8232
75,841236219,0,6,1,0,326
44,18917590247,1,7,5,0,3488
44,24019117200,1,2,4,0,7981
93,2384414415,0,4,6,0,3479
79,101392011,0,6,3,1,7390
76,2313034106,0,6,3,0,1417
100,821833789,0,1,3,0,9100
4,180103569,0,3,5,0,9737
179,17552197115,0,1,1,0,623
85,99178230162,0,4,5,0,7023
29,1800208182,0,3,1,0,5214
35,223435143,0,5,1,0,3203
83,426756175,1,4,5,0,8817
134,21518615415,0,2,7,0,4730
49,26110246156,0,3,3,0,3160
82,37180192250,1,2,0,0,3023
111,33187164197,1,7,1,0,5682
151,879338132,0,0,0,0,8262
88,6657228191,1,0,7,0,6061
19,2441412147,1,3,6,0,1594
10,1816218996,0,6,3,0,3399
86,22612913166,0,4,1,0,3801
173,1448818493,0,6,0,0,6389
174,892483638,1,6,2,0,4318
133,1491684544,1,2,6,0,1158
40,2614475132,1,1,3,0,9236
139,1124635246,0,4,1,0,6739
176,20111916247,1,7,6,0,9234
173,1929793188,1,3,1,0,3522
101,19518213449,1,1,5,0,9346
173,1929793112,1,5,6,0,9430
3,16322614167,1,5,6,0,5313
44,2401911720,0,4,6,0,3940
127,138385110,1,6,5,1,2146
190,782520038,0,3,2,0,2653
159,3664197253,1,4,4,0,9199
66,1602008453,1,7,5,0,3068
58,141244246122,0,2,1,0,5211
89,422123218,0,7,1,0,6686
50,2344385155,1,0,6,0,1806
143,144103172252,0,0,2,0,496
110,135306235,0,5,6,0,898
129,10112340144,1,0,3,0,1546
131,11714681166,0,6,2,0,9023
144,178354920,1,6,7,0,5378
186,224113160207,1,1,4,0,9591
170,1948416123,1,6,0,1,1200
141,68104166140,0,2,0,0,2323
170,1416116046,1,2,5,1,5828
42,16510549165,1,0,1,0,4307
91,61552537,1,0,5,0,3705
84,1702473236,0,4,6,0,6933
183,23105197125,0,7,7,0,6656
34,2092021922,0,6,5,0,3321
194,88209201206,1,2,4,0,8496
169,1651718069,1,1,6,0,637
171,79251182169,0,3,2,0,4657
183,23105197175,1,2,5,0,8848
160,194170133239,0,7,6,0,1705
15,136129125159,1,0,1,0,5051
84,5124263120,1,6,0,0,7657
118,23438224223,1,7,6,1,7502
75,213115111121,1,6,0,0,5866
193,1283616375,0,1,0,0,1729
56,93301149,1,1,1,0,5273
22,226108209142,0,7,3,0,4864
24,1196133189,0,5,4,0,7495
27,183139245162,1,5,0,0,1170
186,126151180152,0,0,5,0,2673
165,135448440,1,0,6,0,9193
135,214161686,1,6,6,0,1352
95,9224967251,1,4,3,0,663
38,126216165215,1,3,4,0,8371
58,139757184,1,2,6,0,2509
12,2625179230,1,4,0,0,3852
154,1010822271,0,1,4,0,9395
114,10035126189,0,5,1,0,9903
177,239207184183,0,6,0,0,2378
148,352083888,0,6,7,0,8987
70,2288553214,1,3,2,0,7918
195,5711414997,0,0,4,0,5030
165,8113563136,1,6,0,0,758
176,2222777148,1,2,4,0,1778
126,87221207244,1,5,2,0,5695
36,9148245236,0,4,3,0,1597
34,182194249143,0,2,2,0,744
183,23613918933,0,5,1,0,9910
12,7313133205,1,2,4,0,2589
179,777018020,1,6,0,0,4259
135,2081610194,1,7,2,0,4162
163,686414329,0,7,6,0,458
54,8417919510,1,7,5,0,7081
133,119016851,0,7,1,0,432
56,93301120,1,4,5,0,9168
27,4153224128,1,5,4,0,5093
54,58172241196,0,6,2,0,7444
83,105116185145,1,2,0,0,7086
1,799532252,0,2,0,0,6397
194,131114156254,0,4,7,0,3704
144,55575468,0,7,6,0,1819
158,188226101249,1,0,7,0,9590
39,23917246119,1,3,4,0,3371
1,101687171,0,5,1,0,5108
132,6211570,1,6,6,0,5572
139,112463520,0,1,5,0,6004
125,127124173,0,7,1,0,3187
170,68239252203,1,6,4,1,9615
121,18398184250,0,3,0,0,7472
14,11112817376,0,2,6,0,7261
84,5124263103,1,2,1,0,1532
80,158153161170,0,7,7,0,2798
52,27124159119,1,7,3,0,8131
9,14183157221,0,6,6,0,8185
173,9719141168,0,5,7,0,5775
5,10418229240,1,7,1,0,2436
124,1095845140,1,3,2,0,2171
164,2241129214,1,5,5,0,7779
164,13512959181,0,6,6,0,6879
172,221122911,0,3,4,0,5269
172,221122993,0,2,3,0,1207
78,10319516171,1,2,7,1,4288
11,4107186105,0,5,4,0,3625
68,109170202136,1,4,0,0,6246
146,1752129344,0,6,5,0,9130
176,16567108133,1,3,0,0,9590
122,7911185245,0,3,0,0,9544
66,112128178151,0,7,5,0,8370
35,2401039616,1,3,5,0,3703
24,1411112621,1,6,0,0,2337
146,2196810387,0,5,1,0,4337
50,234438535,0,7,0,0,1652
43,7611219211,1,6,4,1,3585
159,366419729,1,0,4,0,7933
133,142199146159,1,3,2,0,3577
99,7511136182,0,3,0,0,5938
170,14161160131,0,2,5,1,7621
32,23616824987,1,2,1,0,8070
125,60688037,0,6,3,0,4632
178,6679176135,1,2,0,0,9147
89,18119415290,0,6,5,0,2787
166,127233196161,0,3,1,1,7565
45,19324916464,1,7,0,0,3813
40,2202474193,0,6,4,0,4721
7,11823654170,0,4,7,0,9491
38,12621616537,0,0,6,0,4791
39,23917246183,0,7,4,0,6522
166,219169173193,1,4,5,1,4500
17,13923687223,1,0,1,0,8000
167,7210719425,1,3,5,0,6550
149,188133298,0,4,3,0,981
133,1190168204,1,5,1,0,4782
168,13216492240,0,6,6,0,2423
138,7912318051,1,2,6,0,7840
131,1171468159,0,5,0,0,289
187,7816824182,0,3,2,0,8748
112,3910225264,0,6,1,0,1428
143,144103172173,1,2,1,0,8274
42,165105493,1,6,3,0,1308
98,769710094,0,0,4,0,5150
157,32143230205,1,1,5,0,4056
186,226782591,0,0,2,0,285
57,24516944102,1,6,2,0,355
194,12222519759,1,4,7,0,4000
125,606880195,0,5,6,0,6658
33,21116875246,0,7,7,0,5459
179,17552197156,1,7,4,0,3200
124,109584552,0,0,5,0,3905
22,3817669164,1,5,2,0,145
53,148253215232,1,7,1,0,4719
10,18162189233,0,5,5,0,2789
112,169017246,0,7,1,0,4386
123,465038142,1,7,1,0,1694
182,18422414041,1,2,6,0,7744
16,47185224180,1,3,5,0,8991
83,426756189,1,6,3,0,5185
151,343844210,1,2,6,0,7240
1,1632056715,0,3,3,0,8426
108,18418411440,0,7,6,0,7606
105,11313114272,0,3,0,0,4033
140,14421624382,0,1,3,0,8069
138,79123180249,0,5,7,0,8672
27,4153224106,1,3,3,0,4077
40,22024741214,1,6,1,0,475
146,22422712122,1,6,4,0,1190
92,1661171158,1,7,1,0,6633
64,233217172,1,1,1,0,4741
148,3520838206,1,3,3,0,9989
70,2288553165,0,7,3,0,9115
67,12841208146,0,4,2,0,7291
88,28167174,0,3,1,0,5782
2,235987991,1,6,2,0,8837
64,233217105,1,0,4,0,7278
182,22822117043,1,2,3,0,3909
34,9911321124,0,2,6,0,338
5,22950249143,0,6,5,0,3692
107,135113248153,1,3,6,0,9904
174,621018463,0,0,3,0,8414
170,1416116099,1,6,3,1,9782
175,19435174221,0,1,4,0,5791
92,166117144,1,0,6,0,9552
50,2344385139,1,5,4,0,6667
153,11485200104,1,6,0,0,9870
154,24520210132,1,3,3,0,7614
47,18321811423,0,1,7,0,7671
172,242146185206,1,7,7,0,4902
113,1424641214,0,2,5,0,7357
61,2183373111,0,5,1,0,8488
188,22669195227,1,2,6,0,9590
104,2042374426,0,4,2,0,6265
39,138744161,1,7,1,0,1523
157,321432305,1,4,6,0,7942
49,9124191197,1,6,7,0,478
112,3373141248,0,0,2,0,3681
132,175155240226,1,0,1,0,1908
86,4247312,0,4,6,0,5212
158,4442141153,0,4,7,0,952
50,2344385218,0,5,1,0,7154
119,15019245254,0,7,0,0,7031
31,794913092,0,6,3,0,3027
143,144103172222,1,4,2,0,2849
75,696163,0,5,1,0,6978
21,2151546170,0,6,2,0,5866
77,17919918975,1,3,5,0,5150
111,33187164126,0,0,6,0,6857
38,12621616561,0,6,7,0,191
159,3664197168,0,3,2,0,7870
42,1651054935,1,4,2,0,6587
106,482347174,1,6,1,0,5908
9,20711125121,1,5,3,0,5924
174,138148393,0,2,2,0,9373
118,23438224197,1,2,6,1,7698
163,224227165127,0,7,3,0,1851
181,447973126,0,6,1,0,5375
125,12712458,1,5,5,0,1060
82,95235244102,0,1,4,0,5656
36,1007713670,0,6,3,0,6442
111,175134189,1,6,3,0,8625
126,6820426169,0,5,0,0,5973
28,16158246146,1,6,3,0,3800
8,219200134250,0,2,4,0,8412
159,13616320713,1,6,6,0,3766
97,1862077210,0,2,3,1,1296
62,952229769,0,4,1,0,5478
82,37180192252,0,3,3,0,4196
190,173245162135,0,5,1,0,5475
3,23262832,0,1,2,0,6672
155,244222137206,0,0,3,0,3222
55,17114217194,1,3,7,0,7741
92,312301832,0,0,5,0,902
80,11719859191,0,6,7,0,7845
146,2145285243,1,2,1,0,2827
195,57114149224,0,1,5,0,6942
146,2415365199,1,2,4,0,5647
92,7924513733,0,0,7,0,5676
165,130161134170,0,7,3,0,5262
43,12810215154,1,3,2,1,1012
5,10418229209,1,0,6,0,8156
187,1837823533,1,5,5,0,4062
114,18798167195,0,2,0,0,7742
117,189180246228,1,7,4,0,2686
98,7697100148,0,3,4,0,8217
72,56575129,0,0,6,0,8557
32,1491741582,0,3,6,0,4920
5,10418229102,0,5,0,0,5873
180,1692392621,1,5,3,0,4635
27,142161199217,0,5,0,0,6610
